北京	北京市
天津	天津市
河北	河北省
石家庄	石家庄市
辛集	辛集市
晋州	晋州市
新乐	新乐市
唐山	唐山市
遵化	遵化市
迁安	迁安市
滦州	滦州市
秦皇岛	秦皇岛市
邯郸	邯郸市
武安	武安市
南宫	南宫市
沙河	沙河市
保定	保定市
涿州	涿州市
定州	定州市
安国	安国市
高碑店	高碑店市
张家口	张家口市
平泉	平泉市
沧州	沧州市
泊头	泊头市
任丘	任丘市
黄骅	黄骅市
河间	河间市
廊坊	廊坊市
霸州	霸州市
三河	三河市
衡水	衡水市
深州	深州市
山西	山西省
太原	太原市
古交	古交市
大同	大同区 大同市
阳泉	阳泉市
长治	长治市
晋城	晋城市
高平	高平市
朔州	朔州市
怀仁	怀仁市
晋中	晋中市
介休	介休市
运城	运城市
永济	永济市
河津	河津市
忻州	忻州市
原平	原平市
临汾	临汾市
侯马	侯马市
霍州	霍州市
吕梁	吕梁市
孝义	孝义市
汾阳	汾阳市
呼和浩特	呼和浩特市
包头	包头市
乌海	乌海市
赤峰	赤峰市
通辽	通辽市
霍林郭勒	霍林郭勒市
鄂尔多斯	鄂尔多斯市
呼伦贝尔	呼伦贝尔市
满洲里	满洲里市
牙克石	牙克石市
扎兰屯	扎兰屯市
额尔古纳	额尔古纳市
根河	根河市
巴彦淖尔	巴彦淖尔市
乌兰察布	乌兰察布市
丰镇	丰镇市
乌兰浩特	乌兰浩特市
阿尔山	阿尔山市
二连浩特	二连浩特市
锡林浩特	锡林浩特市
辽宁	辽宁省
沈阳	沈阳市
新民	新民市
大连	大连市
瓦房店	瓦房店市
庄河	庄河市
鞍山	鞍山市
丹东	丹东市
凤城	凤城市
锦州	锦州市
凌海	凌海市
北镇	北镇市
营口	营口市
盖州	盖州市
大石桥	大石桥市
辽阳	辽阳县 辽阳市
灯塔	灯塔市
盘锦	盘锦市
铁岭	铁岭县 铁岭市
调兵山	调兵山市
开原	开原市
北票	北票市
凌源	凌源市
葫芦岛	葫芦岛市
兴城	兴城市
吉林	吉林省
长春	长春市
榆树	榆树市
德惠	德惠市
昌邑	昌邑区 昌邑市
蛟河	蛟河市
桦甸	桦甸市
舒兰	舒兰市
磐石	磐石市
四平	四平市
公主岭	公主岭市
双辽	双辽市
辽源	辽源市
西安	西安区 西安市
通化	通化县 通化市
梅河口	梅河口市
集安	集安市
白山	白山市
临江	临江市
松原	松原市
扶余	扶余市
白城	白城市
洮南	洮南市
延吉	延吉市
图们	图们市
敦化	敦化市
珲春	珲春市
龙井	龙井市
和龙	和龙市
黑龙江	黑龙江省
哈尔滨	哈尔滨市
尚志	尚志市
五常	五常市
齐齐哈尔	齐齐哈尔市
讷河	讷河市
鸡西	鸡西市
虎林	虎林市
密山	密山市
鹤岗	鹤岗市
双鸭山	双鸭山市
大庆	大庆市
铁力	铁力市
佳木斯	佳木斯市
同江	同江市
富锦	富锦市
抚远	抚远市
七台河	七台河市
牡丹江	牡丹江市
绥芬河	绥芬河市
海林	海林市
宁安	宁安市
穆棱	穆棱市
东宁	东宁市
黑河	黑河市
北安	北安市
五大连池	五大连池市
绥化	绥化市
安达	安达市
肇东	肇东市
海伦	海伦市
漠河	漠河市
上海	上海市
江苏	江苏省
南京	南京市
栖霞	栖霞区 栖霞市
无锡	无锡市
江阴	江阴市
宜兴	宜兴市
徐州	徐州市
新沂	新沂市
邳州	邳州市
常州	常州市
溧阳	溧阳市
苏州	苏州市
常熟	常熟市
张家港	张家港市
昆山	昆山市
太仓	太仓市
南通	南通市
启东	启东市
如皋	如皋市
海门	海门市
海安	海安市
连云港	连云港市
淮安	淮安区 淮安市
盐城	盐城市
东台	东台市
扬州	扬州市
仪征	仪征市
高邮	高邮市
镇江	镇江市
丹阳	丹阳市
扬中	扬中市
句容	句容市
泰州	泰州市
兴化	兴化市
靖江	靖江市
泰兴	泰兴市
宿迁	宿迁市
浙江	浙江省
杭州	杭州市
